"","unigram","bigram","frequency"
"314","all","my",7238
"315","or","a",7165
"316","all","i",7158
"317","years","ago",7147
"318","makes","me",7117
"319","wants","to",7003
"320","needs","to",6980
"321","last","year",6972
"322","tell","you",6969
"323","or","the",6937
"324","where","the",6911
"325","due","to",6896
"326","tell","me",6894
"327","make","the",6876
"328","being","a",6805
"329","where","i",6796
"330","after","a",6779
"331","had","the",6772
"332","good","morning",6771
"333","down","to",6770
"334","has","to",6745
"335","off","to",6734
"336","good","luck",6681
"337","full","of",6675
"338","talk","about",6661
"339","their","own",6656
"340","us","to",6620
"341","before","the",6603
"342","can","i",6597
"343","how","many",6596
"344","before","i",6586
"345","even","though",6582
"346","time","and",6580
"347","each","other",6563
"348","under","the",6530
"349","theres","a",6511
"350","number","of",6494
"351","seems","to",6457
"352","many","of",6453
"353","how","i",6449
"354","even","if",6436
"355","there","were",6346
"356","think","about",6319
"357","life","is",6267
"358","why","i",6243
"359","sort","of",6233
"360","should","have",6225
"361","today","i",6188
"362","wait","for",6185
"363","last","week",6175
"364","than","a",6174
"365","listen","to",6161
"366","excited","to",6134
"367","will","not",6107
"368","your","own",6092
"369","which","i",6067
"370","waiting","for",6051
"371","yes","i",6045
"372","him","to",6027
"373","live","in",6003
"374","seem","to",6002
"375","its","been",5983
"376","would","like",5973
"377","well","i",5920
"378","supposed","to",5917
"379","mothers","day",5905
"380","across","the",5897
"381","talk","to",5875
"382","next","week",5868
"383","high","school",5867
"384","one","day",5836
"385","because","it",5831
"386","think","that",5805
"387","along","with",5793
"388","rather","than",5789
"389","here","in",5784
"390","front","of",5766
"391","since","i",5753
"392","top","of",5748
"393","people","are",5747
"394","day","and",5744
"395","miss","you",5736
"396","told","me",5699
"397","here","is",5696
"398","could","have",5691
"399","gonna","be",5644
"400","chance","to",5622
"401","take","the",5603
"402","day","to",5565
"403","tried","to",5561
"404","any","of",5554
"405","side","of",5547
"406","find","a",5538
"407","would","you",5524
"408","based","on",5523
"409","day","i",5508
"410","or","not",5478
"411","they","can",5470
"412","thats","what",5422
"413","much","more",5419
"414","thats","a",5396
"415","look","like",5396
"416","thinking","about",5370
"417","every","day",5363
"418","interested","in",5363
"419","good","to",5360
"420","sure","to",5353
"421","while","i",5316
"422","no","matter",5289
"423","made","it",5252
"424","against","the",5250
"425","back","and",5249
"426","no","longer",5244
"427","may","have",5229
"428","see","what",5225
"429","because","they",5224
"430","them","and",5221
"431","made","a",5215
"432","happy","to",5211
"433","she","has",5186
"434","did","i",5158
"435","where","you",5156
"436","am","not",5147
"437","got","the",5118
"438","just","like",5107
"439","now","that",5094
"440","order","to",5090
"441","today","is",5083
"442","them","in",5065
"443","see","it",5062
"444","made","me",5031
"445","who","has",5008
"446","rt","i",5006
"447","only","one",4983
"448","just","as",4973
"449","social","media",4949
"450","who","have",4947
"451","things","that",4944
"452","looking","at",4915
"453","come","on",4888
"454","until","the",4877
"455","hope","to",4870
"456","much","as",4866
"457","an","hour",4830
"458","sense","of",4812
"459","close","to",4807
"460","amount","of",4805
"461","find","out",4781
"462","next","to",4680
"463","less","than",4674
"464","watching","the",4665
"465","him","and",4651
"466","sounds","like",4650
"467","more","of",4639
"468","use","the",4628
"469","between","the",4596
"470","though","i",4577
"471","piece","of",4575
"472","came","to",4565
"473","has","the",4556
"474","why","do",4535
"475","easy","to",4528
"476","nice","to",4523
"477","go","back",4508
"478","thats","the",4497
"479","said","that",4492
"480","much","of",4484
"481","welcome","to",4466
"482","much","for",4453
"483","life","and",4440
"484","lol","i",4440
"485","now","and",4435
"486","people","in",4387
"487","wont","be",4348
"488","may","not",4344
"489","year","old",4338
"490","his","own",4337
"491","comes","to",4309
"492","your","life",4301
"493","which","was",4301
"494","lets","go",4274
"495","give","me",4268
"496","back","on",4256
"497","since","the",4256
"498","work","on",4252
"499","something","that",4240
"500","she","had",4239
"501","something","to",4229
"502","great","day",4217
"503","said","the",4207
"504","continue","to",4190
"505","some","people",4184
"506","give","you",4177
"507","way","of",4170
"508","wake","up",4167
"509","than","i",4151
"510","lack","of",4149
"511","down","and",4149
"512","come","back",4147
"513","will","never",4146
"514","long","as",4145
"515","here","and",4145
"516","an","amazing",4141
"517","am","so",4136
"518","coming","to",4107
"519","follow","back",4086
"520","us","and",4084
"521","no","idea",4077
"522","over","and",4054
"523","only","a",4051
"524","every","time",4046
"525","proud","of",4029
"526","people","to",4021
"527","one","thing",4019
"528","didnt","know",4018
"529","let","us",4017
"530","come","out",4012
"531","thought","i",4012
"532","long","time",4006
"533","these","are",4005
"534","go","on",3995
"535","thing","i",3987
"536","next","year",3974
"537","believe","that",3971
"538","work","and",3971
"539","new","year",3962
"540","while","the",3954
"541","yeah","i",3944
"542","little","bit",3937
"543","today","and",3932
"544","even","more",3915
"545","type","of",3915
"546","shout","out",3913
"547","your","favorite",3910
"548","then","the",3901
"549","am","a",3881
"550","home","and",3871
"551","her","to",3864
"552","why","is",3859
"553","please","follow",3857
"554","along","the",3852
"555","thought","it",3850
"556","needed","to",3831
"557","friends","and",3829
"558","deal","with",3820
"559","might","have",3808
"560","glad","you",3790
"561","end","up",3782
"562","read","the",3781
"563","here","are",3771
"564","were","not",3766
"565","use","of",3765
"566","many","people",3763
"567","made","the",3763
"568","cant","believe",3762
"569","find","the",3755
"570","list","of",3745
"571","glad","to",3741
"572","one","is",3737
"573","too","many",3712
"574","want","a",3711
"575","way","i",3709
"576","tonight","at",3706
"577","place","to",3700
"578","now","im",3700
"579","great","to",3686
"580","watch","the",3686
"581","figure","out",3684
"582","things","i",3681
"583","any","other",3677
"584","over","to",3676
"585","took","a",3667
"586","work","with",3667
"587","didnt","have",3662
"588","pick","up",3661
"589","after","all",3659
"590","pretty","much",3652
"591","youre","not",3647
"592","were","a",3644
"593","starting","to",3615
"594","into","my",3613
"595","say","i",3608
"596","ability","to",3605
"597","still","have",3604
"598","become","a",3599
"599","willing","to",3598
"600","bunch","of",3576
"601","said","i",3572
"602","idea","of",3555
"603","did","it",3552
"604","someone","who",3551
"605","care","of",3550
"606","got","my",3549
"607","years","of",3548
"608","take","it",3543
"609","look","forward",3542
"610","were","in",3532
"611","put","it",3532
"612","few","days",3526
"613","next","time",3524
"614","over","a",3523
"615","quite","a",3517
"616","opportunity","to",3511
"617","woke","up",3501
"618","or","so",3500
"619","whats","up",3500
"620","let","the",3468
"621","join","us",3462
"622","good","for",3459
"623","congrats","to",3459
"624","focus","on",3446
"625","well","be",3439
"626","theres","no",3435
"627","were","the",3416
"628","does","it",3410
"629","middle","of",3404
"630","must","have",3403
"631","enjoy","the",3387
"632","thats","why",3384
"633","excited","for",3376
"634","plenty","of",3373
"635","check","it",3361
"636","even","the",3358
"637","set","up",3357
"638","our","new",3353
"639","group","of",3345
"640","keep","it",3332
"641","soon","as",3312
"642","within","the",3284
"643","before","you",3279
"644","things","are",3279
"645","happy","mothers",3275
"646","things","to",3273
"647","call","me",3269
"648","other","than",3266
"649","happened","to",3254
"650","version","of",3253
"651","could","not",3251
"652","very","much",3245
"653","believe","in",3237
"654","using","the",3230
"655","until","i",3228
"656","go","out",3227
"657","more","about",3225
"658","sure","you",3222
"659","same","time",3219
"660","thanks","so",3219
"661","trip","to",3214
"662","ive","never",3209
"663","came","out",3209
"664","ice","cream",3203
"665","saw","the",3190
"666","then","you",3186
"667","behind","the",3171
"668","talking","to",3171
"669","said","he",3164
"670","work","in",3139
"671","ended","up",3135
"672","getting","ready",3125
"673","right","to",3120
"674","find","it",3099
"675","once","again",3097
"676","making","a",3095
"677","youre","a",3090
"678","keep","the",3085
"679","getting","a",3080
"680","ive","got",3071
"681","family","and",3066
"682","best","of",3063
"683","hit","the",3062
"684","give","a",3054
"685","wonder","if",3053
"686","been","in",3053
"687","year","and",3041
"688","through","a",3029
"689","oh","my",3028
"690","her","and",3024
"691","id","like",3022
"692","ive","had",3021
"693","rt","if",3020
"694","point","of",3007
"695","fan","of",3006
"696","our","own",2999
"697","united","states",2998
"698","whats","the",2998
"699","throughout","the",2998
"700","seems","like",2997
"701","managed","to",2994
"702","give","up",2980
"703","look","for",2975
"704","say","it",2973
"705","filled","with",2966
"706","more","and",2955
"707","anyone","else",2955
"708","best","friend",2953
"709","two","of",2950
"710","excited","about",2946
"711","place","in",2943
"712","week","and",2939
"713","some","time",2937
"714","thing","to",2936
"715","an","old",2935
"716","thing","that",2933
"717","gave","me",2933
"718","where","we",2926
"719","also","a",2925
"720","an","awesome",2925
"721","state","of",2921
"722","put","the",2911
"723","living","in",2910
"724","very","good",2909
"725","help","you",2898
"726","sure","i",2891
"727","us","in",2887
"728","coming","up",2883
"729","him","in",2883
"730","nothing","to",2879
"731","create","a",2848
"732","saw","a",2846
"733","without","a",2845
"734","something","i",2843
"735","use","it",2841
"736","found","a",2839
"737","days","of",2838
"738","few","weeks",2835
"739","sometimes","i",2833
"740","half","of",2830
"741","none","of",2820
"742","never","been",2820
"743","free","to",2820
"744","pretty","sure",2810
"745","form","of",2804
"746","really","good",2800
"747","tired","of",2796
"748","should","i",2779
"749","those","of",2771
"750","night","and",2770
"751","these","days",2763
"752","put","on",2762
"753","oh","and",2761
"754","use","a",2761
"755","hope","that",2755
"756","week","i",2752
"757","cant","be",2750
"758","picture","of",2749
"759","help","me",2747
"760","pretty","good",2747
"761","let","you",2738
"762","year","i",2721
"763","havent","been",2717
"764","tend","to",2711
"765","again","i",2711
"766","years","and",2711
"767","few","years",2710
"768","having","to",2710
"769","picked","up",2709
"770","add","the",2708
"771","god","is",2706
"772","found","out",2704
"773","again","and",2697
"774","from","his",2691
"775","known","as",2688
"776","say","the",2686
"777","moment","when",2682
"778","both","of",2679
"779","call","it",2674
"780","thought","of",2666
"781","story","of",2663
"782","stop","by",2659
"783","last","time",2658
"784","cant","get",2658
"785","food","and",2657
"786","them","i",2649
"787","feel","the",2644
"788","been","on",2642
"789","doing","it",2641
"790","doing","a",2637
"791","seemed","to",2632
"792","taking","a",2632
"793","san","diego",2631
"794","didnt","get",2628
"795","started","to",2624
"796","thinking","of",2624
"797","only","to",2616
"798","us","a",2607
"799","why","are",2602
"800","read","it",2602
"801","feels","like",2595
"802","likely","to",2586
"803","everyone","is",2586
"804","pair","of",2585
"805","important","to",2582
"806","try","and",2578
"807","still","a",2577
"808","by","my",2570
"809","thing","is",2569
"810","sure","that",2568
"811","worth","it",2567
"812","put","a",2557
"813","still","in",2557
"814","start","to",2542
"815","great","time",2541
"816","done","with",2535
"817","then","we",2534
"818","after","i",2529
"819","took","the",2524
"820","name","is",2523
"821","home","to",2522
"822","meant","to",2515
"823","looked","at",2515
"824","makes","it",2511
"825","world","of",2507
"826","man","who",2506
"827","working","with",2505
"828","house","and",2505
"829","each","of",2498
"830","way","too",2498
"831","only","the",2492
"832","ways","to",2488
"833","being","the",2488
"834","keep","up",2485
"835","night","i",2484
"836","haha","i",2482
"837","didnt","want",2482
"838","felt","like",2472
"839","fun","and",2456
"840","ill","have",2456
"841","your","heart",2450
"842","makes","you",2450
"843","lets","get",2446
"844","name","of",2437
"845","called","the",2429
"846","bout","to",2426
"847","many","times",2425
"848","her","own",2412
"849","id","be",2409
"850","sorry","i",2408
"851","matter","what",2401
"852","than","that",2400
"853","man","i",2400
"854","difficult","to",2395
"855","meet","you",2389
"856","remember","the",2388
"857","fun","to",2384
"858","coming","out",2378
"859","turned","out",2378
"860","youll","be",2366
"861","anyone","who",2364
"862","him","a",2355
"863","ago","i",2355
"864","whats","your",2354
"865","years","old",2351
"866","forget","to",2349
"867","person","who",2343
"868","series","of",2333
"869","life","i",2333
"870","been","to",2332
"871","access","to",2326
"872","wrong","with",2324
"873","home","from",2322
"874","oh","i",2321
"875","too","bad",2320
"876","members","of",2318
"877","other","people",2316
"878","heading","to",2316
"879","sorry","for",2314
"880","far","as",2313
"881","buy","a",2312
"882","great","weekend",2310
"883","doing","the",2309
"884","began","to",2307
"885","ask","for",2307
"886","onto","the",2307
"887","really","want",2304
"888","school","and",2303
"889","two","years",2299
"890","care","about",2299
"891","among","the",2296
"892","change","the",2289
"893","congrats","on",2289
"894","does","that",2286
"895","catch","up",2279
"896","thousands","of",2278
"897","also","the",2274
"898","never","be",2272
"899","around","and",2270
"900","always","be",2267
"901","attempt","to",2267
"902","two","weeks",2266
"903","set","of",2258
"904","plan","to",2254
"905","university","of",2253
"906","which","the",2253
"907","hours","of",2250
"908","take","care",2250
"909","everyone","who",2248
"910","pictures","of",2245
"911","member","of",2243
"912","by","and",2239
"913","most","people",2239
"914","without","the",2237
"915","allowed","to",2230
"916","guess","i",2227
"917","today","at",2226
"918","matter","how",2219
"919","off","and",2217
"920","hes","a",2210
"921","same","thing",2204
"922","addition","to",2204
"923","beginning","of",2200
"924","such","an",2199
"925","our","lives",2197
"926","pay","for",2192
"927","cup","of",2192
"928","attention","to",2189
"929","bottom","of",2187
"930","maybe","i",2185
"931","wanting","to",2179
"932","realize","that",2178
"933","other","day",2178
"934","too","i",2178
"935","does","the",2178
"936","someone","else",2164
"937","involved","in",2164
"938","headed","to",2161
"939","always","a",2160
"940","birthday","to",2159
"941","hang","out",2158
"942","using","a",2158
"943","weeks","ago",2153
"944","world","and",2153
"945","power","of",2152
"946","history","of",2150
"947","off","of",2146
"948","really","like",2142
"949","first","day",2136
"950","some","great",2135
"951","down","on",2133
"952","kinds","of",2133
"953","exactly","what",2128
"954","night","at",2128
"955","well","and",2128
"956","also","be",2127
"957","should","not",2127
"958","turns","out",2119
"959","variety","of",2118
"960","rt","the",2116
"961","everything","is",2114
"962","remember","that",2113
"963","return","to",2109
"964","little","more",2098
"965","worry","about",2098
"966","although","i",2093
"967","wouldnt","be",2093
"968","show","you",2091
"969","los","angeles",2091
"970","world","is",2090
"971","heard","of",2088
"972","our","first",2085
"973","happen","to",2081
"974","wish","you",2080
"975","copy","of",2080
"976","believe","it",2079
"977","making","the",2078
"978","guys","are",2077
"979","want","you",2074
"980","glad","i",2074
"981","though","the",2073
"982","always","been",2072
"983","terms","of",2071
"984","morning","and",2068
"985","together","and",2067
"986","stay","in",2063
"987","most","important",2056
"988","send","me",2055
"989","level","of",2050
"990","life","in",2046
"991","doesnt","have",2044
"992","write","a",2042
"993","followed","by",2039
"994","outside","of",2035
"995","went","on",2035
"996","looking","to",2034
"997","might","not",2032
"998","valentines","day",2030
"999","hear","the",2029
"1000","thank","god",2026
"1001","compared","to",2024
"1002","enough","for",2024
"1003","someone","to",2021
"1004","oh","yeah",2018
"1005","sitting","in",2013
"1006","reminds","me",2013
"1007","every","single",2012
"1008","book","is",2010
"1009","hit","me",2007
"1010","goes","to",2005
"1011","ahead","of",2005
"1012","cause","i",2003
"1013","comes","from",2003
"1014","asked","me",2000
"1015","parts","of",1999
"1016","thought","that",1997
"1017","could","do",1996
"1018","aware","of",1995
"1019","u","have",1995
"1020","closer","to",1992
"1021","happy","new",1991
"1022","san","francisco",1989
"1023","win","the",1989
"1024","making","it",1986
"1025","agree","with",1984
"1026","something","like",1981
"1027","through","my",1981
"1028","leave","the",1980
"1029","example","of",1977
"1030","his","wife",1974
"1031","his","first",1972
"1032","saying","that",1971
"1033","music","and",1971
"1034","few","months",1966
"1035","doesnt","mean",1965
"1036","used","the",1965
"1037","very","well",1958
"1038","following","me",1957
"1039","interest","in",1957
"1040","despite","the",1953
"1041","found","the",1952
"1042","r","u",1952
"1043","case","of",1951
"1044","win","a",1947
"1045","tell","us",1939
"1046","myself","to",1938
"1047","new","years",1931
"1048","outside","the",1931
"1049","taking","the",1931
"1050","friday","night",1931
"1051","course","i",1930
"1052","before","we",1929
"1053","getting","the",1928
"1054","loved","the",1926
"1055","rid","of",1926
"1056","follow","m",1925
"1057","youre","in",1919
"1058","need","some",1917
"1059","omg","i",1912
"1060","makes","a",1912
"1061","want","it",1907
"1062","heres","a",1906
"1063","loved","it",1903
"1064","feel","free",1902
"1065","rt","rt",1900
"1066","result","of",1898
"1067","beautiful","day",1895
"1068","best","to",1893
"1069","follow","the",1892
"1070","stuck","in",1887
"1071","morning","i",1885
"1072","id","love",1876
"1073","need","for",1870
"1074","reason","to",1861
"1075","given","the",1859
"1076","game","of",1859
"1077","feel","so",1852
"1078","majority","of",1850
"1079","both","the",1848
"1080","came","up",1847
"1081","youre","going",1847
"1082","tons","of",1844
"1083","left","the",1842
"1084","days","and",1841
"1085","towards","the",1837
"1086","youve","got",1836
"1087","link","to",1833
"1088","his","life",1827
"1089","reason","i",1825
"1090","thx","for",1823
"1091","being","able",1823
"1092","learn","to",1822
"1093","near","the",1821
"1094","being","in",1818
"1095","water","and",1816
"1096","seen","the",1815
"1097","keep","your",1815
"1098","book","and",1813
"1099","inside","the",1809
"1100","play","with",1805
"1101","begin","to",1805
"1102","also","have",1803
"1103","looked","like",1800
"1104","hundreds","of",1799
"1105","age","of",1799
"1106","sign","up",1798
"1107","stay","tuned",1796
"1108","however","i",1795
"1109","coming","soon",1792
"1110","knew","that",1781
"1111","matter","of",1781
"1112","dealing","with",1777
"1113","relationship","with",1775
"1114","spread","the",1774
"1115","including","the",1774
"1116","everyone","else",1773
"1117","move","on",1769
"1118","expected","to",1767
"1119","yes","it",1766
"1120","money","to",1765
"1121","these","things",1764
"1122","realized","that",1764
"1123","room","and",1763
"1124","wait","until",1763
"1125","show","up",1760
"1126","may","th",1759
"1127","once","i",1759
"1128","means","that",1756
"1129","choose","to",1756
"1130","still","be",1753
"1131","week","of",1752
"1132","wanna","go",1747
"1133","types","of",1745
"1134","lot","more",1743
"1135","found","that",1743
"1136","help","us",1743
"1137","thank","u",1742
"1138","came","from",1735
"1139","black","and",1734
"1140","hoping","to",1733
"1141","percent","of",1730
"1142","told","him",1727
"1143","nothing","but",1726
"1144","same","way",1726
"1145","into","it",1725
"1146","hanging","out",1722
"1147","easier","to",1721
"1148","god","and",1719
"1149","really","need",1717
"1150","ago","and",1717
"1151","understand","the",1715
"1152","yet","to",1715
"1153","weve","been",1715
"1154","two","days",1715
"1155","except","for",1713
"1156","her","in",1711
"1157","hate","when",1709
"1158","difference","between",1708
"1159","unable","to",1707
"1160","cannot","be",1706
"1161","vote","for",1702
"1162","share","with",1702
"1163","u","know",1701
"1164","going","through",1700
"1165","process","of",1698
"1166","start","a",1695
"1167","grew","up",1690
"1168","shut","up",1690
"1169","hope","i",1688
"1170","watch","it",1688
"1171","home","in",1687
"1172","appreciate","the",1686
"1173","thanks","i",1682
"1174","isnt","it",1676
"1175","though","it",1674
"1176","won","the",1673
"1177","hard","work",1672
"1178","seeing","you",1669
"1179","depending","on",1669
"1180","play","the",1669
"1181","thankful","for",1664
"1182","hey","i",1664
"1183","until","you",1663
"1184","forced","to",1662
"1185","lead","to",1658
"1186","each","day",1658
"1187","ask","me",1657
"1188","told","you",1656
"1189","bit","more",1650
"1190","desire","to",1650
"1191","used","in",1649
"1192","tell","the",1647
"1193","mom","and",1646
"1194","open","to",1645
"1195","never","had",1644
"1196","u","can",1641
"1197","hear","that",1637
"1198","ha","ha",1637
"1199","tomorrow","night",1636
"1200","miss","the",1633
"1201","days","i",1633
"1202","everything","i",1632
"1203","text","me",1631
"1204","havent","seen",1630
"1205","anything","to",1630
"1206","responsible","for",1629
"1207","first","of",1629
"1208","making","me",1628
"1209","other","hand",1627
"1210","comes","out",1622
"1211","s","and",1621
"1212","forgot","to",1619
"1213","ok","i",1617
"1214","room","for",1617
"1215","city","of",1615
"1216","needs","a",1613
"1217","blog","post",1611
"1218","hes","not",1610
"1219","took","me",1607
"1220","inspired","by",1607
"1221","once","you",1606
"1222","left","to",1603
"1223","isnt","a",1601
"1224","youve","been",1601
"1225","similar","to",1599
"1226","try","it",1599
"1227","blog","and",1598
"1228","however","the",1596
"1229","every","year",1592
"1230","weve","got",1589
"1231","never","know",1583
"1232","away","and",1581
"1233","join","the",1581
"1234","these","people",1581
"1235","children","and",1579
"1236","far","from",1579
"1237","those","are",1579
"1238","idea","that",1579
